ID	FL24_1_metaphlan2	XS24_2_metaphlan2	XS24_3_metaphlan2	FS24_3_metaphlan2	NS0_3_metaphlan2	FS24_2_metaphlan2	NS24_1_metaphlan2	NS0_2_metaphlan2	IN24_2_metaphlan2	GS24_2_metaphlan2	IN24_3_metaphlan2	GS24_3_metaphlan2	FL24_3_metaphlan2	FL24_2_metaphlan2	XS24_1_metaphlan2	NS24_3_metaphlan2	NS0_1_metaphlan2	FS24_1_metaphlan2	NS24_2_metaphlan2	GS24_1_metaphlan2	IN24_1_metaphlan2
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_33B		0.00957			0.01247			0.0087			0.00822			0.00693			0.00878			0.01318			0.00981			0.00678			0.01289			0.00772			0.02084			0.0062			0.00575			0.01046			0.01364			0.0093			0.0063			0.01148			0.01509			0.00903	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_56FAA		0.60591			0.10776			0.10828			0.32446			0.15651			0.31461			0.22926			0.18644			0.19324			0.64673			0.20778			0.65441			0.59184			0.57665			0.11417			0.23854			0.19907			0.33905			0.21589			0.68004			0.22227	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_2_4		0.02977			0.05279			0.04986			0.02212			0.0048			0.02297			0.00564			0.00796			0.02355			0.02406			0.02046			0.01579			0.02874			0.02508			0.04665			0.00671			0.00552			0.01535			0.00636			0.02443			0.04706	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_19		0.15076			0.2098			0.20555			0.09729			0.19739			0.09273			0.15487			0.19095			0.09851			0.25319			0.10095			0.23937			0.1518			0.14226			0.17567			0.1754			0.19611			0.08727			0.15492			0.23772			0.12557	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_23		0.12184			0.17281			0.19077			0.09735			0.0317			0.09781			0.05162			0.02764			0.08823			0.06892			0.07717			0.0754			0.12272			0.11029			0.18297			0.04936			0.03183			0.11137			0.03939			0.08004			0.07742	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_33FAA		0.00508			0.00767			0.00586			0.0043			0.05514			0.00257			0.00769			0.06534			0.00632			0.00349			0.00165			0.003			0.00483			0.00799			0.00548			0.00308			0.07162			0.00358			0.00492			0.00748			0.00546	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_1_40A		0.25039			0.33261			0.29367			0.12499			0.49852			0.1474			0.18152			0.48681			0.12884			0.14437			0.12694			0.13896			0.24354			0.23341			0.28381			0.17202			0.47558			0.13761			0.1543			0.15007			0.1113	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_2_5		0.04362			0.00051			0.00323			0.01944			0.00392			0.00904			0.00917		0.0		0.00245			0.03756			0.00054			0.05331			0.03099			0.03388			0.00354			0.00388		0.0		0.00543			0.0077			0.04692			0.00483	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_1_36		0.02839			0.01828			0.02473			0.02143			0.00555			0.02132			0.02479			0.00621			0.02812			0.0121			0.02761			0.00673			0.0286			0.03259			0.02447			0.02629			0.00461			0.02396			0.02047			0.0081			0.02613	
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA		0.06037			0.05625			0.07374			0.01873			0.1114			0.01629			0.04817			0.1083			0.0168			0.01922			0.02313			0.01544			0.05692			0.05144			0.07794			0.05566			0.12522			0.02			0.0448			0.01461			0.02879	
